Reservation_id,Age,Adults,Children,Babies,Visted_Previously,Previous_Cancellations,Required_Car_Parking,Reservation_Status,Use_Promotion,Discount_Rate,Room_Rate,stay_nights,Lead_Days,Revenue,Expected_checkin_year,Expected_checkin_month,Gender_M,Ethnicity_Asian American,Ethnicity_Latino,Ethnicity_caucasian,Educational_Level_Grad,Educational_Level_High-School,Educational_Level_Mid-School,Income_50K -- 100K,Income_<25K,Income_>100K,Country_region_North,Country_region_South,Country_region_West,Hotel_Type_City Hotel,Hotel_Type_Resort,Meal_Type_FB,Meal_Type_HB,Deposit_type_Non-Refundable,Deposit_type_Refundable,Booking_channel_Direct,Booking_channel_Online
79158038,69,1,2,2,0,0,1,1,1,15,246,2,35,492,2015,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
49456071,42,3,3,1,0,0,1,1,1,10,203,1,67,203,2015,7,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
99089071,22,1,2,0,0,0,1,1,0,0,220,3,34,660,2015,7,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
26323232,32,1,1,2,1,0,0,1,0,0,182,1,11,182,2015,7,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
14142898,55,3,1,1,0,0,1,1,1,10,168,1,0,168,2015,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
13898482,62,1,1,0,0,0,1,1,0,0,234,1,6,234,2015,7,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1
37437329,22,1,3,2,0,0,1,1,1,10,118,1,36,118,2015,7,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
42680944,62,1,2,0,0,0,0,1,1,5,220,4,68,880,2015,7,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
67286844,45,3,1,0,0,0,1,1,1,20,222,1,71,222,2015,7,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85519191,53,5,3,0,0,0,0,1,1,25,161,3,69,483,2015,7,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
2579451,33,2,1,0,0,0,1,1,1,10,101,2,125,202,2015,7,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0
17727805,32,3,1,1,1,0,1,1,0,0,105,1,77,105,2015,7,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
44808431,43,2,2,0,1,0,1,1,0,0,146,1,47,146,2015,7,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
70317745,38,3,2,0,0,0,1,1,1,20,162,1,59,162,2015,5,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
69306508,18,1,2,0,1,0,1,1,1,10,129,1,76,129,2015,7,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
65535117,66,2,1,0,0,0,1,1,0,0,218,2,97,436,2015,7,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1
72188000,44,2,1,0,0,0,1,1,1,20,191,3,115,573,2015,7,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
34053875,43,5,2,0,0,0,1,1,1,25,154,1,94,154,2015,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95959457,29,3,2,0,0,0,1,1,0,0,173,1,95,173,2015,5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
33334436,54,4,2,1,1,0,1,1,0,0,216,1,68,216,2015,7,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
97828465,48,3,2,1,0,0,1,1,1,5,103,3,42,309,2015,5,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
70532206,43,3,1,0,0,0,0,1,1,25,246,1,39,246,2015,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
98511366,43,5,2,0,0,0,1,1,0,0,156,3,12,468,2015,7,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
62860295,23,3,1,0,1,0,0,1,1,10,237,1,35,237,2015,7,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
47244513,43,4,2,1,1,0,0,1,0,0,166,4,39,664,2015,5,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
5385714,21,1,2,1,0,0,1,1,1,25,208,4,66,832,2015,7,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
95106668,35,1,1,0,0,0,1,1,1,30,159,1,44,159,2015,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
140349,36,2,2,0,0,0,0,1,1,10,188,3,42,564,2015,7,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
7709904,51,2,1,0,0,0,1,1,1,20,134,1,15,134,2015,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
89888538,29,2,1,0,1,1,1,1,1,20,218,1,69,218,2015,7,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
37320420,68,1,2,1,0,0,1,1,0,0,101,4,103,404,2015,7,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
94772738,44,2,1,0,0,0,1,1,0,0,124,3,44,372,2015,6,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0
67740487,62,3,2,1,1,0,1,1,1,10,243,2,94,486,2015,7,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
56263406,68,1,1,1,0,0,1,1,1,25,238,1,112,238,2015,7,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
93676283,69,2,2,0,0,0,1,1,0,0,150,4,86,600,2015,7,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
73719356,66,1,2,0,0,0,1,1,1,5,111,1,49,111,2015,7,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
62215136,32,2,2,0,1,0,1,1,1,20,240,3,110,720,2015,7,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
53295296,59,3,1,0,0,0,0,1,1,40,237,1,92,237,2015,7,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
21196935,44,2,2,0,0,0,1,1,0,0,228,1,75,228,2015,7,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
6285306,48,2,2,1,1,1,0,1,1,25,175,1,2,175,2015,7,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
50124298,28,2,2,0,0,0,1,1,1,15,199,4,0,796,2015,7,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
44843313,67,2,1,0,1,1,0,1,1,20,158,1,0,158,2015,7,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
62712158,63,2,2,1,0,0,1,1,1,10,131,1,0,131,2015,7,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
62570719,38,5,1,1,1,0,1,1,1,10,149,1,0,149,2015,7,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
31873692,21,2,2,0,1,0,1,1,1,20,140,1,0,140,2015,7,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
88607277,60,2,1,1,0,0,1,1,1,10,143,1,13,143,2015,7,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
45408396,26,1,1,0,0,0,1,1,1,5,225,1,9,225,2015,7,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
60695251,52,3,1,1,1,0,0,1,1,25,201,1,4,201,2015,7,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
18301716,24,2,2,0,1,0,1,1,0,0,123,1,16,123,2015,7,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
75436311,60,4,2,0,1,1,1,1,1,25,242,1,92,242,2015,7,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
51494336,26,1,3,0,1,1,0,1,1,15,179,2,1,358,2015,6,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1
37564720,26,1,1,0,1,0,1,1,1,10,232,1,9,232,2015,7,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
84070025,69,1,1,2,0,0,1,1,1,30,127,1,2,127,2015,7,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
58266326,56,3,3,1,1,0,1,1,0,0,204,1,50,204,2015,7,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4845332,42,3,1,0,1,0,0,1,1,10,174,1,70,174,2015,6,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
96798559,61,1,2,0,0,0,1,1,1,10,219,2,61,438,2015,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
75344429,63,1,3,0,0,0,1,1,1,30,146,1,61,146,2015,7,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
89456553,65,5,1,0,0,0,1,1,1,10,177,1,100,177,2015,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
97707055,67,1,2,1,0,0,0,1,0,0,214,1,1,214,2015,7,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1
66082028,55,4,1,1,1,1,1,1,0,0,200,2,13,400,2015,7,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
59992741,53,4,1,1,0,0,0,1,0,0,186,3,48,558,2015,6,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
67830167,22,5,2,0,0,0,1,1,0,0,187,1,2,187,2015,7,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
61148490,46,2,2,1,0,0,1,1,1,30,212,3,45,636,2015,5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8374938,40,1,3,0,1,1,1,1,0,0,222,2,0,444,2015,7,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
12091786,64,4,1,0,0,0,1,1,1,20,121,2,70,242,2015,7,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
7675104,44,5,2,2,0,0,0,1,0,0,203,1,80,203,2015,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44467998,28,1,2,1,1,0,0,1,1,5,227,3,96,681,2015,7,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
54294175,40,1,1,0,1,1,1,1,1,20,249,1,367,249,2015,5,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
37285949,21,2,2,1,0,0,1,1,1,20,243,3,361,729,2015,7,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0
52449633,62,2,1,0,1,0,1,1,1,10,231,1,80,231,2015,6,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
43700894,58,2,1,0,0,0,1,1,1,25,169,4,95,676,2015,7,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0
19868896,34,1,1,0,1,0,0,1,1,25,188,1,323,188,2015,7,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1
64763276,31,2,2,0,0,0,1,1,1,10,100,3,66,300,2015,7,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
50935350,37,2,1,1,0,0,0,1,1,40,170,3,76,510,2015,4,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
59376256,51,2,1,1,0,0,0,1,1,20,146,3,9,438,2015,7,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0
2454990,47,1,1,0,0,0,1,1,1,10,121,1,8,121,2015,7,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
66392370,56,2,1,0,0,0,1,1,0,0,102,1,0,102,2015,7,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
41050783,51,1,1,0,0,0,1,1,1,30,138,2,19,276,2015,7,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
4295644,39,1,1,0,0,0,0,1,1,20,242,3,6,726,2015,7,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
41547218,29,1,2,1,1,1,0,1,1,5,203,2,107,406,2015,7,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0
5293613,46,2,1,0,1,1,1,1,0,0,235,1,108,235,2015,5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16778927,66,2,1,1,0,0,1,1,1,15,205,1,71,205,2015,6,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
44624415,49,1,2,1,0,0,1,1,1,5,215,1,62,215,2015,5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1691869,38,2,1,0,0,0,1,1,1,5,240,2,61,480,2015,7,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0
89215770,57,3,1,0,0,0,1,1,1,30,226,4,97,904,2015,7,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
20176010,46,1,1,2,0,0,1,1,1,10,164,2,100,328,2015,7,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
40028695,59,4,2,0,0,0,0,1,1,25,204,2,2,408,2015,7,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
11260215,23,2,2,0,0,0,1,1,0,0,158,4,94,632,2015,7,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
76318666,32,2,2,0,1,1,1,1,1,15,204,2,90,408,2015,7,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
56252511,28,3,1,0,1,0,1,1,1,5,117,1,94,117,2015,7,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
15611316,47,3,1,0,0,0,1,1,1,15,209,3,99,627,2015,7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
27064774,52,5,1,0,1,0,0,1,1,10,114,1,25,114,2015,6,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
46967349,35,2,2,0,0,0,1,1,1,5,229,1,72,229,2015,5,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
70161171,48,2,2,0,1,0,0,1,0,0,129,2,100,258,2015,4,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1
81928060,26,4,1,0,0,0,1,1,1,25,189,2,113,378,2015,7,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
20965226,30,2,1,2,1,1,0,1,1,5,247,1,101,247,2015,7,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
99218933,57,3,3,0,1,0,1,1,0,0,245,2,84,490,2015,7,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
18472049,19,5,2,0,1,1,1,1,1,20,191,1,77,191,2015,7,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
54997115,22,2,2,0,1,0,1,1,0,0,214,1,51,214,2015,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47708934,60,1,2,0,1,0,1,1,1,10,228,3,26,684,2015,7,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
31956359,23,2,1,0,0,0,1,1,1,20,238,1,100,238,2015,5,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
85101864,55,2,3,0,0,0,1,1,1,5,144,1,108,144,2015,7,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
76679894,58,2,1,0,0,0,0,1,1,10,216,2,90,432,2015,7,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
99030960,31,1,1,0,0,0,1,1,1,5,240,4,88,960,2015,7,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
22908824,33,3,1,1,0,0,1,1,0,0,123,2,77,246,2015,7,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0
95121154,41,4,2,0,0,0,1,1,1,5,248,1,1,248,2015,7,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
93260803,38,5,1,1,0,0,1,1,1,25,217,2,28,434,2015,7,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
65748594,24,1,2,0,0,0,0,1,1,5,234,2,49,468,2015,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
70197598,63,3,1,0,1,1,1,1,1,5,120,1,35,120,2015,7,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1
75393812,58,2,3,0,0,0,1,1,0,0,158,2,71,316,2015,5,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
35573319,26,2,1,1,0,0,1,1,0,0,168,2,31,336,2015,6,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
15775355,20,3,1,1,0,0,1,1,1,20,130,2,30,260,2015,7,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
20372189,44,1,1,0,0,0,1,1,1,5,203,3,5,609,2015,7,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
14138784,38,3,3,1,1,1,1,1,1,15,181,2,98,362,2015,7,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1
75668801,64,1,1,1,0,0,1,1,1,15,165,1,0,165,2015,7,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
85923736,29,2,2,0,1,0,1,1,1,20,186,1,99,186,2015,7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
91219,35,4,1,0,0,0,1,1,1,10,130,2,98,260,2015,7,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
45482058,53,1,1,0,0,0,1,1,1,20,118,2,7,236,2015,7,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
91798772,38,3,1,1,0,0,0,1,0,0,123,4,1,492,2015,7,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
52430955,22,1,2,0,0,0,1,1,1,5,195,1,0,195,2015,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
56511978,47,1,2,0,1,1,1,1,0,0,109,2,7,218,2015,7,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
4371916,69,1,2,1,0,0,0,1,1,10,162,2,0,324,2015,7,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
61280116,25,1,1,0,0,0,1,1,1,25,179,4,0,716,2015,7,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
8903936,22,4,1,0,1,1,1,1,1,20,242,3,6,726,2015,7,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
49894109,57,1,1,0,0,0,0,1,1,15,244,1,4,244,2015,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36479325,68,2,2,1,0,0,1,1,1,30,148,2,0,296,2015,7,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
95145544,27,2,2,1,1,1,0,1,0,0,176,1,43,176,2015,7,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0
78688371,24,1,1,0,0,0,0,1,1,20,103,2,78,206,2015,7,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
50136772,61,4,1,0,1,0,1,1,1,20,122,4,93,488,2015,7,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
8142106,36,3,2,1,0,0,1,1,1,20,133,1,108,133,2015,7,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1
12737635,38,4,1,1,0,0,1,1,0,0,158,1,29,158,2015,7,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
70828688,70,2,1,0,0,0,0,1,1,40,227,1,63,227,2015,7,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
45133192,38,1,2,0,1,0,0,1,1,25,114,1,38,114,2015,7,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
60357244,58,1,1,0,0,0,1,1,1,25,223,1,89,223,2015,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
20431537,26,2,2,0,0,0,1,1,1,30,201,1,33,201,2015,6,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
85494342,37,3,3,1,0,0,0,1,1,5,191,1,92,191,2015,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
11120982,45,5,1,0,0,0,1,1,1,5,190,4,93,760,2015,7,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1
51131903,29,2,1,2,0,0,1,1,1,20,115,1,28,115,2015,7,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
89674363,25,2,2,0,0,0,1,1,0,0,176,1,100,176,2015,3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0
23053437,54,1,1,1,1,0,0,1,1,40,160,1,26,160,2015,7,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
6558091,18,3,1,1,0,0,1,1,1,10,150,2,6,300,2015,7,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
10383391,54,1,2,1,1,0,0,1,1,5,157,2,80,314,2015,7,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
79042826,33,2,3,0,0,0,1,1,1,10,188,1,93,188,2015,7,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
24397112,35,1,1,1,0,0,1,1,0,0,186,1,109,186,2015,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
57110940,58,2,2,0,1,1,1,1,0,0,172,1,95,172,2015,7,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0
58986042,24,2,2,0,0,0,1,1,1,20,244,3,76,732,2015,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
28336528,40,1,1,1,0,0,0,1,1,20,241,1,114,241,2015,7,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1
52268748,29,2,2,1,0,0,1,1,1,10,193,2,109,386,2015,7,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1
30401013,37,1,2,0,0,0,1,1,1,20,151,1,50,151,2015,7,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
45608680,34,3,2,0,0,0,1,1,1,10,127,3,91,381,2015,7,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
68485421,62,2,3,0,0,0,1,1,1,5,184,3,78,552,2015,7,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
33603045,50,4,2,0,1,1,0,1,1,30,181,2,82,362,2015,7,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
14999192,56,1,2,0,1,1,1,1,1,5,145,3,48,435,2015,7,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
98707595,43,2,1,0,0,0,1,1,1,20,229,1,110,229,2015,7,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
